ms,label,tempC,humPct,press_hPa,gas_ohm,log_gas,dloggas_dt,ema_fast,ema_slow,ema_diff
76247,air,29.63,46.22,997.31,123085,11.720631,0.041387,11.693043,11.272315,0.420728
76597,air,29.64,46.14,997.31,123717,11.725752,0.014632,11.704491,11.299521,0.404969
76947,air,29.65,46.05,997.31,125092,11.736805,0.03158,11.7158,11.325759,0.390041
77297,air,29.66,45.96,997.31,125558,11.740523,0.010624,11.724453,11.350645,0.373808
77647,air,29.66,45.89,997.31,126404,11.747238,0.019185,11.732428,11.37444,0.357987
77997,air,29.67,45.82,997.31,127551,11.756271,0.025809,11.740772,11.39735,0.343422
78347,air,29.68,45.75,997.31,129409,11.770733,0.041319,11.751258,11.419753,0.331505
78697,air,29.68,45.67,997.31,129508,11.771498,0.002185,11.758342,11.440858,0.317484
79047,air,29.69,45.62,997.3,130208,11.776889,0.015403,11.764832,11.46102,0.303813
79397,air,29.7,45.57,997.3,132145,11.791656,0.042191,11.77422,11.480858,0.293363
79747,air,29.7,45.5,997.3,132769,11.796366,0.013458,11.781971,11.499788,0.282183
80097,air,29.7,45.46,997.29,132978,11.797939,0.004496,11.78756,11.517677,0.269882
80447,air,29.71,45.43,997.29,134248,11.807445,0.027158,11.794518,11.535063,0.259456
80797,air,29.71,45.43,997.3,133399,11.8011,-0.018128,11.796822,11.551025,0.245796
81147,air,29.72,45.41,997.3,133083,11.798728,-0.006777,11.797488,11.565887,0.231601
81497,air,29.72,45.42,997.29,134462,11.809037,0.029455,11.80153,11.580476,0.221054
81847,air,29.73,45.44,997.3,133928,11.805058,-0.011371,11.802764,11.59395,0.208814
82197,coffee,29.73,45.45,997.29,134676,11.810627,0.015913,11.805515,11.606951,0.198565
82547,coffee,29.73,45.47,997.29,135760,11.818644,0.022905,11.81011,11.619653,0.190457
82897,coffee,29.74,45.48,997.29,136308,11.822672,0.011509,11.814507,11.631834,0.182673
83247,coffee,29.74,45.49,997.29,136198,11.821865,-0.002305,11.817081,11.643235,0.173846
83597,coffee,29.74,45.49,997.3,137083,11.828341,0.018504,11.821022,11.654342,0.16668
83947,coffee,29.75,45.47,997.29,138093,11.835683,0.020975,11.826153,11.665222,0.160931
84297,coffee,29.75,45.48,997.28,138888,11.841423,0.0164,11.831497,11.675795,0.155703
84647,coffee,29.75,45.47,997.29,139117,11.843071,0.004708,11.835547,11.685831,0.149716
84997,coffee,29.76,45.46,997.3,139578,11.846379,0.009452,11.839338,11.695464,0.143874
85347,coffee,29.76,45.44,997.3,138888,11.841423,-0.014161,11.840068,11.704222,0.135846
85697,coffee,29.77,45.43,997.3,139462,11.845548,0.011785,11.841986,11.712701,0.129285
86047,coffee,29.77,45.39,997.3,139693,11.847202,0.004728,11.843811,11.720772,0.123039
86397,coffee,29.77,45.39,997.3,140859,11.855515,0.023749,11.847907,11.728856,0.119051
86747,coffee,29.78,45.36,997.31,140859,11.855515,0.0,11.85057,11.736455,0.114115
87097,coffee,29.78,45.34,997.3,141331,11.85886,0.009559,11.853471,11.743799,0.109672
87447,coffee,29.79,45.32,997.31,141095,11.857189,-0.004774,11.854772,11.750603,0.104169
87797,coffee,29.79,45.3,997.3,141925,11.863054,0.016757,11.85767,11.75735,0.10032
88147,coffee,29.79,45.28,997.29,142645,11.868114,0.014458,11.861325,11.763995,0.09733
88497,coffee,29.79,45.26,997.29,141331,11.85886,-0.026441,11.860462,11.769687,0.090775
88847,coffee,29.8,45.24,997.28,141687,11.861376,0.007188,11.860782,11.775187,0.085594
89197,coffee,29.8,45.23,997.28,141925,11.863054,0.004796,11.861577,11.780459,0.081118
89547,coffee,29.8,45.2,997.28,142045,11.863899,0.002414,11.86239,11.785466,0.076923
89897,coffee,29.8,45.18,997.29,142766,11.868962,0.014466,11.86469,11.790477,0.074213
90247,coffee,29.8,45.16,997.3,143251,11.872354,0.009689,11.867372,11.795389,0.071982
90597,coffee,29.81,45.15,997.29,143494,11.874048,0.004842,11.869708,11.800109,0.069599
90947,coffee,29.81,45.11,997.29,143739,11.875754,0.004875,11.871824,11.804647,0.067177
91297,coffee,29.82,45.11,997.3,144107,11.878311,0.007305,11.874094,11.809068,0.065026
91647,coffee,29.82,45.08,997.3,144230,11.879165,0.002439,11.875868,11.813273,0.062594
91997,coffee,29.82,45.06,997.29,144849,11.883447,0.012234,11.87852,11.817484,0.061036
92347,coffee,29.82,45.04,997.3,144107,11.878311,-0.014673,11.878447,11.821134,0.057313
92697,coffee,29.82,45.03,997.3,143617,11.874906,-0.00973,11.877207,11.82436,0.052847
93047,coffee,29.83,45.01,997.3,144354,11.880024,0.014624,11.878193,11.8277,0.050493
93397,coffee,29.83,44.98,997.29,144974,11.88431,0.012245,11.880334,11.831096,0.049238
93747,coffee,29.83,44.96,997.28,145474,11.887753,0.009836,11.88293,11.834496,0.048434
94097,coffee,29.83,44.94,997.28,145223,11.886025,-0.004935,11.884013,11.837587,0.046426
94447,coffee,29.83,44.92,997.28,145725,11.889477,0.009861,11.885925,11.8407,0.045225
94797,coffee,29.83,44.9,997.28,145223,11.886025,-0.009861,11.88596,11.84342,0.04254
95147,coffee,29.83,44.89,997.29,145977,11.891205,0.014798,11.887795,11.846287,0.041509
95497,coffee,29.83,44.88,997.29,144974,11.88431,-0.0197,11.886576,11.848568,0.038008
95847,coffee,29.83,44.87,997.29,144974,11.88431,0.0,11.885782,11.850713,0.035069
96197,coffee,29.83,44.86,997.28,147122,11.899017,0.042022,11.890414,11.853611,0.036803
96547,coffee,29.83,44.87,997.29,145474,11.887753,-0.032185,11.889482,11.855659,0.033823
96897,coffee,29.83,44.86,997.29,146739,11.896411,0.024738,11.891907,11.858104,0.033803
97247,alcohol,29.83,44.84,997.29,115582,11.657736,-0.681929,11.809947,11.846082,-0.036135
97597,alcohol,29.83,44.84,997.29,74065,11.212698,-1.271537,11.60091,11.808079,-0.207169
97947,alcohol,29.83,44.85,997.29,49221,10.804075,-1.167494,11.322018,11.747839,-0.425821
98297,alcohol,29.84,44.89,997.29,35487,10.476922,-0.934723,11.026234,11.671584,-0.64535
98647,alcohol,29.84,44.95,997.28,27493,10.221686,-0.729245,10.744642,11.58459,-0.839948
98997,alcohol,29.84,45.03,997.29,22227,10.009063,-0.607496,10.487189,11.490059,-1.00287
99347,alcohol,29.84,45.12,997.29,18617,9.83183,-0.506379,10.257813,11.390565,-1.132751
99697,alcohol,29.85,45.24,997.29,16053,9.683651,-0.423369,10.056856,11.288151,-1.231295
100047,alcohol,29.85,45.35,997.29,14156,9.557894,-0.359306,9.882219,11.184336,-1.302116
100397,alcohol,29.85,45.51,997.29,12638,9.444464,-0.324086,9.729005,11.079943,-1.350938
100747,alcohol,29.85,45.66,997.3,11462,9.346792,-0.279061,9.59523,10.975953,-1.380723
101097,alcohol,29.86,45.8,997.29,10564,9.265207,-0.2331,9.479722,10.873308,-1.393586
101447,alcohol,29.86,45.97,997.29,9964,9.206734,-0.167067,9.384175,10.773314,-1.389139
101797,alcohol,29.86,46.12,997.3,9370,9.145268,-0.175615,9.300558,10.675632,-1.375074
102147,alcohol,29.86,46.29,997.3,9048,9.110299,-0.099912,9.233967,10.581712,-1.347745
102497,alcohol,29.86,46.44,997.3,8711,9.072342,-0.108449,9.177398,10.491149,-1.313751
102847,alcohol,29.86,46.6,997.3,8541,9.052633,-0.05631,9.13373,10.404838,-1.271108
103197,alcohol,29.87,46.73,997.3,8358,9.030974,-0.061883,9.097765,10.322406,-1.224641
103547,alcohol,29.87,46.89,997.3,8279,9.021478,-0.027133,9.071064,10.244349,-1.173285
103897,alcohol,29.87,47.03,997.3,8202,9.012134,-0.026697,9.050438,10.170416,-1.119978
104247,alcohol,29.87,47.16,997.31,8138,9.0043,-0.022381,9.034289,10.10045,-1.06616
104597,alcohol,29.87,47.29,997.31,8088,8.998137,-0.01761,9.021635,10.034311,-1.012676
104947,alcohol,29.87,47.41,997.31,8033,8.991313,-0.019496,9.011023,9.971731,-0.960709
105297,alcohol,29.87,47.54,997.3,7942,8.97992,-0.03255,9.000136,9.912223,-0.912086
105647,alcohol,29.88,47.65,997.31,7894,8.973858,-0.017321,8.990939,9.855921,-0.864982
105997,alcohol,29.88,47.77,997.31,7918,8.976894,0.008676,8.986023,9.803179,-0.817156
106347,alcohol,29.88,47.89,997.32,7847,8.967887,-0.025736,8.979675,9.753061,-0.773386
106697,alcohol,29.88,48.0,997.32,7824,8.964952,-0.008387,8.974522,9.705774,-0.731253
107047,alcohol,29.88,48.08,997.32,7870,8.970814,0.016749,8.973224,9.661676,-0.688453
107397,alcohol,29.88,48.18,997.32,7859,8.969415,-0.003997,8.97189,9.620141,-0.648251
107747,alcohol,29.89,48.31,997.32,7894,8.973858,0.012695,8.972579,9.581364,-0.608785
108097,alcohol,29.89,48.38,997.31,7882,8.972337,-0.004346,8.972494,9.544823,-0.572329
108447,alcohol,29.89,48.48,997.32,7900,8.974618,0.006518,8.973237,9.510611,-0.537374
108797,alcohol,29.89,48.57,997.32,7924,8.977652,0.008668,8.974782,9.478633,-0.503851
109147,alcohol,29.89,48.64,997.32,7984,8.985195,0.021553,8.978426,9.449027,-0.470601
109497,alcohol,29.89,48.74,997.33,7990,8.985946,0.002144,8.981057,9.421243,-0.440186
109847,alcohol,29.89,48.81,997.33,8014,8.988945,0.008569,8.983818,9.395306,-0.411488
110197,alcohol,29.89,48.88,997.33,8014,8.988945,0.0,8.985612,9.370924,-0.385312
110547,alcohol,29.89,48.95,997.33,8045,8.992806,0.011033,8.98813,9.348236,-0.360106
110897,alcohol,29.9,49.01,997.34,8082,8.997395,0.013109,8.991372,9.327186,-0.335814
111247,alcohol,29.9,49.09,997.32,8151,9.005896,0.024289,8.996455,9.307908,-0.311453
111597,alcohol,29.9,49.15,997.32,8119,9.001963,-0.011237,8.998383,9.289552,-0.291169
111947,alcohol,29.9,49.2,997.32,8189,9.010547,0.024526,9.00264,9.272812,-0.270172
112297,alcohol,29.9,49.26,997.33,8202,9.012134,0.004534,9.005962,9.257171,-0.251208
112647,alcohol,29.9,49.34,997.32,8247,9.017605,0.015632,9.010036,9.242797,-0.23276
112997,alcohol,29.9,49.4,997.33,8247,9.017605,0.0,9.012685,9.229285,-0.2166
113347,alcohol,29.9,49.46,997.33,8286,9.022323,0.01348,9.016058,9.216867,-0.200809
113697,alcohol,29.91,49.51,997.34,8273,9.020753,-0.004485,9.017701,9.205101,-0.1874
114047,alcohol,29.91,49.56,997.34,8331,9.027739,0.019959,9.021214,9.194459,-0.173245
114397,alcohol,29.91,49.61,997.34,8305,9.024613,-0.008929,9.022403,9.184269,-0.161866
114747,alcohol,29.91,49.68,997.34,8345,9.029418,0.013727,9.024858,9.174978,-0.150121
115097,alcohol,29.91,49.71,997.34,8338,9.028579,-0.002398,9.026159,9.166194,-0.140035
115447,alcohol,29.91,49.76,997.35,8391,9.034915,0.018103,9.029223,9.158318,-0.129094
115797,alcohol,29.91,49.81,997.35,8391,9.034915,0.0,9.031216,9.150913,-0.119698
116147,alcohol,29.91,49.85,997.35,8425,9.038959,0.011553,9.033925,9.144196,-0.110271
116497,alcohol,29.91,49.89,997.36,8459,9.042986,0.011507,9.037096,9.138123,-0.101027
116847,alcohol,29.92,49.94,997.35,8472,9.044522,0.00439,9.039695,9.132506,-0.092812
117197,alcohol,29.92,49.99,997.35,8466,9.043814,-0.002025,9.041137,9.127185,-0.086048
117547,alcohol,29.92,50.03,997.35,8500,9.047821,0.01145,9.043476,9.122423,-0.078947
117897,alcohol,29.92,50.06,997.36,8507,9.048645,0.002354,9.045285,9.117997,-0.072712
118247,alcohol,29.92,50.13,997.35,8513,9.04935,0.002014,9.046707,9.113878,-0.067171
118597,alcohol,29.92,50.16,997.35,8541,9.052633,0.009381,9.048781,9.110203,-0.061421
118947,alcohol,29.92,50.19,997.35,8513,9.04935,-0.009381,9.04898,9.106552,-0.057572
119297,alcohol,29.92,50.25,997.35,8555,9.054271,0.01406,9.050831,9.103415,-0.052584
119647,alcohol,29.92,50.28,997.35,8562,9.055089,0.002338,9.052321,9.100515,-0.048194
119997,alcohol,29.92,50.31,997.36,8548,9.053452,-0.004676,9.052717,9.097692,-0.044974
120347,alcohol,29.92,50.35,997.35,8583,9.057539,0.011676,9.054404,9.095283,-0.040878
120697,alcohol,29.93,50.4,997.36,8576,9.056723,-0.002332,9.055216,9.092969,-0.037753
121047,garlic,29.93,50.42,997.36,9009,9.105979,0.140732,9.072983,9.09375,-0.020767
121397,garlic,29.92,50.44,997.36,10021,9.212439,0.30417,9.121792,9.100872,0.02092
121747,garlic,29.92,50.41,997.36,11588,9.357725,0.415104,9.204369,9.116283,0.088085
122097,garlic,29.92,50.33,997.36,13706,9.525589,0.479611,9.316795,9.140841,0.175954
122447,garlic,29.92,50.23,997.37,16326,9.700514,0.499785,9.451097,9.174422,0.276674
122797,garlic,29.92,50.19,997.38,19072,9.855976,0.444178,9.592804,9.215315,0.377489
123147,garlic,29.92,50.26,997.38,22368,10.015387,0.455459,9.740707,9.263319,0.477388
123497,garlic,29.92,50.45,997.38,25987,10.165352,0.428472,9.889333,9.317441,0.571892
123847,garlic,29.93,50.74,997.38,29614,10.296002,0.373287,10.031667,9.376154,0.655513
124197,garlic,29.93,51.1,997.39,33251,10.41184,0.330966,10.164727,9.438294,0.726433
124547,garlic,29.93,51.46,997.39,36785,10.512845,0.288585,10.286568,9.502768,0.7838
124897,garlic,29.93,51.87,997.39,39990,10.596385,0.238686,10.395003,9.568385,0.826618
125247,garlic,29.93,52.28,997.39,43003,10.669025,0.207544,10.490911,9.634423,0.856487
125597,garlic,29.94,52.67,997.39,45604,10.727751,0.167787,10.573805,9.700023,0.873782
125947,garlic,29.94,53.06,997.39,47772,10.774195,0.132697,10.643941,9.764473,0.879468
126297,garlic,29.94,53.42,997.39,49714,10.814042,0.11385,10.703476,9.827447,0.876029
126647,garlic,29.94,53.79,997.39,51192,10.843339,0.083705,10.752428,9.8884,0.864028
126997,garlic,29.94,54.09,997.39,52465,10.867902,0.07018,10.792844,9.94717,0.845674
127347,garlic,29.94,54.41,997.4,53428,10.88609,0.051967,10.82548,10.003506,0.821974
127697,garlic,29.94,54.69,997.4,54218,10.900768,0.041937,10.85183,10.057342,0.794489
128047,garlic,29.94,54.97,997.4,54996,10.915016,0.040708,10.873945,10.108802,0.765143
128397,garlic,29.94,55.24,997.39,55502,10.924174,0.026166,10.891525,10.157724,0.733801
128747,garlic,29.94,55.47,997.4,55981,10.932768,0.024553,10.90596,10.204226,0.701734
129097,garlic,29.95,55.7,997.4,56392,10.940083,0.020899,10.917903,10.248378,0.669525
129447,garlic,29.95,55.91,997.4,56925,10.94949,0.026877,10.928958,10.290444,0.638514
129797,garlic,29.95,56.11,997.4,57195,10.954222,0.01352,10.937799,10.330271,0.607529
130147,garlic,29.95,56.29,997.4,57862,10.965816,0.033128,10.947605,10.368404,0.579201
130497,garlic,29.95,56.49,997.41,58141,10.970627,0.013744,10.955663,10.404537,0.551126
130847,garlic,29.95,56.66,997.41,58585,10.978234,0.021736,10.963562,10.438959,0.524603
131197,garlic,29.95,56.82,997.41,58830,10.982408,0.011924,10.970158,10.471565,0.498592
131547,garlic,29.95,56.97,997.4,59285,10.990111,0.022011,10.977141,10.502678,0.474463
131897,garlic,29.95,57.11,997.39,59578,10.995042,0.014087,10.983406,10.53222,0.451186
132247,garlic,29.95,57.25,997.39,60087,11.003549,0.024305,10.990456,10.560499,0.429956
132597,garlic,29.95,57.37,997.4,60431,11.009257,0.016311,10.997036,10.587425,0.409611
132947,garlic,29.95,57.51,997.4,60736,11.014292,0.014384,11.003076,10.613037,0.390038
133297,garlic,29.95,57.63,997.4,60999,11.018613,0.012346,11.008513,10.637371,0.371142
133647,garlic,29.95,57.74,997.41,61444,11.025882,0.020768,11.014592,10.660681,0.353911
133997,garlic,29.95,57.87,997.42,61804,11.031723,0.016689,11.020588,10.682943,0.337645
134347,garlic,29.95,57.95,997.41,61940,11.033921,0.006281,11.025254,10.704001,0.321253
134697,garlic,29.96,58.07,997.41,62122,11.036856,0.008384,11.029315,10.723972,0.305343
135047,garlic,29.96,58.16,997.42,62629,11.044984,0.023223,11.034799,10.743233,0.291566
135397,garlic,29.96,58.24,997.41,62910,11.04946,0.01279,11.03993,10.761606,0.278324
135747,garlic,29.96,58.34,997.41,63335,11.056193,0.019237,11.045622,10.779282,0.26634
136097,garlic,29.96,58.41,997.41,63382,11.056935,0.00212,11.049582,10.79594,0.253641
136447,garlic,29.96,58.51,997.41,63669,11.061453,0.012907,11.053736,10.811871,0.241865
136797,garlic,29.96,58.59,997.41,63814,11.063728,0.006501,11.057233,10.826982,0.23025
137147,garlic,29.96,58.67,997.42,64007,11.066748,0.008627,11.060563,10.841369,0.219194
137497,garlic,29.96,58.74,997.42,64007,11.066748,0.0,11.062728,10.854892,0.207836
137847,garlic,29.97,58.81,997.43,64497,11.074374,0.02179,11.066804,10.86806,0.198744
138197,garlic,29.97,58.88,997.43,64595,11.075892,0.004338,11.069984,10.88053,0.189454
138547,garlic,29.97,58.96,997.42,64595,11.075892,0.0,11.072052,10.892252,0.1798
138897,garlic,29.97,59.02,997.42,64794,11.078968,0.008787,11.074472,10.903455,0.171018
139247,garlic,29.97,59.1,997.42,64843,11.079724,0.002161,11.07631,10.914031,0.162279
139597,garlic,29.97,59.15,997.43,64645,11.076666,-0.008738,11.076434,10.92379,0.152644
139947,garlic,29.97,59.23,997.43,64794,11.078968,0.006578,11.07732,10.933101,0.144219
140297,coffee,29.97,59.29,997.43,66636,11.107,0.080092,11.087708,10.943535,0.144173
140647,coffee,29.97,59.27,997.43,69604,11.150578,0.124506,11.109712,10.955957,0.153754
140997,coffee,29.96,59.13,997.43,74130,11.213575,0.179994,11.146064,10.971415,0.174649
141347,coffee,29.96,58.85,997.43,79584,11.284569,0.202838,11.19454,10.990204,0.204336
141697,coffee,29.95,58.49,997.42,85296,11.353883,0.19804,11.25031,11.012025,0.238285
142047,coffee,29.94,58.01,997.42,89932,11.406809,0.151217,11.305084,11.035711,0.269373
142397,coffee,29.94,57.51,997.42,94995,11.461579,0.156487,11.359857,11.061263,0.298594
142747,coffee,29.94,56.99,997.41,98568,11.498502,0.105493,11.408381,11.087497,0.320885
143097,coffee,29.94,56.45,997.42,102087,11.533581,0.100226,11.452201,11.114262,0.337939
143447,coffee,29.94,55.95,997.42,105205,11.563666,0.085959,11.491213,11.141226,0.349987
143797,coffee,29.95,55.44,997.41,108381,11.593408,0.084975,11.52698,11.168357,0.358624
144147,coffee,29.95,54.96,997.41,110438,11.612209,0.053719,11.55681,11.194988,0.361822
144497,coffee,29.95,54.49,997.41,112650,11.632041,0.056662,11.583141,11.221211,0.36193
144847,coffee,29.95,54.04,997.41,114562,11.648871,0.048087,11.606147,11.246871,0.359276
145197,coffee,29.95,53.62,997.42,116059,11.661854,0.037092,11.625644,11.27177,0.353874
145547,coffee,29.95,53.21,997.42,117024,11.670135,0.023659,11.641215,11.295671,0.345544
145897,coffee,29.95,52.85,997.41,118421,11.682001,0.033904,11.65549,11.318851,0.336638
146247,coffee,29.96,52.47,997.41,118338,11.6813,-0.002003,11.664523,11.340598,0.323925
146597,coffee,29.95,52.14,997.41,119089,11.687627,0.018076,11.672609,11.36142,0.31119
146947,coffee,29.96,51.82,997.4,119342,11.689749,0.006063,11.678608,11.381119,0.297489
147297,coffee,29.96,51.53,997.4,119936,11.694714,0.014185,11.684245,11.399935,0.28431
147647,coffee,29.96,51.25,997.41,120449,11.698981,0.012193,11.689403,11.417877,0.271525
147997,coffee,29.96,50.98,997.4,120881,11.702562,0.010232,11.694009,11.434958,0.25905
148347,coffee,29.96,50.73,997.4,120277,11.697553,-0.014313,11.695249,11.450714,0.244534
148697,coffee,29.96,50.49,997.4,121054,11.703992,0.018398,11.698309,11.46591,0.232399
149047,coffee,29.96,50.26,997.4,120621,11.700409,-0.010237,11.699043,11.47998,0.219064
149397,coffee,29.96,50.04,997.41,121929,11.711194,0.030815,11.703296,11.493853,0.209443
149747,coffee,29.96,49.85,997.41,121841,11.710472,-0.002063,11.705807,11.506849,0.198957
150097,coffee,29.96,49.66,997.41,121315,11.706145,-0.012362,11.705925,11.518807,0.187118
150447,coffee,29.96,49.47,997.41,121402,11.706862,0.002049,11.706253,11.53009,0.176163
150797,coffee,29.96,49.3,997.41,122017,11.711916,0.014439,11.708235,11.540999,0.167235
151147,coffee,29.96,49.14,997.41,122194,11.713366,0.004142,11.710031,11.551341,0.158689
151497,coffee,29.96,48.97,997.41,122460,11.71554,0.006213,11.711959,11.561193,0.150766
151847,coffee,29.96,48.83,997.41,122371,11.714812,-0.002079,11.712957,11.57041,0.142548
152197,coffee,29.96,48.69,997.41,122194,11.713366,-0.004133,11.713099,11.578987,0.134112
152547,coffee,29.96,48.55,997.4,122727,11.717718,0.012436,11.714716,11.587311,0.127405
152897,coffee,29.97,48.42,997.41,123175,11.721361,0.010409,11.717041,11.595353,0.121688
153247,coffee,29.97,48.29,997.41,123355,11.722821,0.004172,11.719064,11.603001,0.116063
153597,coffee,29.97,48.17,997.42,123989,11.727948,0.014648,11.722173,11.610497,0.111675
153947,coffee,29.97,48.05,997.42,124355,11.730896,0.008422,11.725225,11.617722,0.107504
154297,coffee,29.97,47.95,997.42,124263,11.730156,-0.002114,11.726951,11.624468,0.102483
154647,coffee,29.97,47.85,997.42,123626,11.725017,-0.014684,11.726274,11.630501,0.095773
154997,coffee,29.97,47.75,997.42,124538,11.732367,0.021,11.728406,11.636613,0.091793
155347,coffee,29.97,47.65,997.42,124263,11.730156,-0.006316,11.729018,11.642226,0.086792
155697,coffee,29.97,47.56,997.42,125000,11.736069,0.016894,11.731485,11.647857,0.083629
156047,coffee,29.97,47.47,997.42,125464,11.739774,0.010586,11.734386,11.653372,0.081015
156397,coffee,29.97,47.39,997.42,126689,11.749491,0.027763,11.739673,11.659139,0.080534
156747,coffee,29.97,47.3,997.42,126404,11.747238,-0.006436,11.74232,11.664424,0.077896
157097,coffee,29.97,47.23,997.41,126026,11.744244,-0.008556,11.742993,11.669213,0.07378
157447,coffee,29.97,47.17,997.41,126309,11.746487,0.006409,11.744216,11.67385,0.070366
157797,coffee,29.97,47.08,997.4,126309,11.746487,0.0,11.74501,11.678208,0.066802
158147,coffee,29.97,47.03,997.41,127166,11.753248,0.019319,11.747893,11.682711,0.065183
158497,coffee,29.97,46.96,997.41,126594,11.74874,-0.01288,11.748189,11.686672,0.061517
158847,coffee,29.97,46.89,997.41,126594,11.74874,0.0,11.748382,11.690396,0.057985
159197,coffee,29.97,46.83,997.41,127551,11.756271,0.021518,11.751143,11.694349,0.056793
159547,coffee,29.97,46.76,997.41,127166,11.753248,-0.008638,11.751879,11.697883,0.053996
159897,coffee,29.97,46.72,997.41,127166,11.753248,0.0,11.752357,11.701204,0.051153
160247,coffee,29.97,46.66,997.42,127166,11.753248,0.0,11.752668,11.704327,0.048342
160597,coffee,29.97,46.61,997.42,127358,11.754757,0.004311,11.753399,11.707352,0.046047
160947,coffee,29.97,46.56,997.41,126975,11.751745,-0.008605,11.75282,11.710015,0.042805
161297,coffee,29.97,46.51,997.41,127454,11.75551,0.010757,11.753761,11.712746,0.041016
161647,coffee,29.97,46.45,997.41,128522,11.763855,0.023842,11.757294,11.715813,0.041481
161997,coffee,29.97,46.42,997.4,127937,11.759294,-0.013033,11.757993,11.718422,0.039571
162347,coffee,29.97,46.38,997.41,127937,11.759294,0.0,11.758448,11.720875,0.037573
162697,coffee,29.97,46.34,997.41,128424,11.763093,0.010856,11.760073,11.723408,0.036665
163047,coffee,29.97,46.29,997.41,128522,11.763855,0.002177,11.761396,11.725835,0.035562
163397,coffee,29.97,46.25,997.4,128620,11.764618,0.00218,11.762524,11.728162,0.034362
163747,coffee,29.97,46.22,997.4,127840,11.758534,-0.017381,11.761127,11.729984,0.031142
164097,coffee,29.98,46.17,997.4,128915,11.766909,0.023926,11.76315,11.7322,0.030951
164447,coffee,29.97,46.16,997.4,128620,11.764618,-0.006545,11.763664,11.734145,0.029519
164797,coffee,29.98,46.11,997.4,128620,11.764618,0.0,11.763998,11.735973,0.028025
165147,coffee,29.98,46.06,997.41,129112,11.768435,0.010907,11.765551,11.737921,0.02763
165497,coffee,29.98,46.05,997.41,128424,11.763093,-0.015264,11.76469,11.739431,0.025259
165847,coffee,29.98,46.02,997.41,128816,11.76614,0.008706,11.765198,11.741035,0.024163
166197,coffee,29.98,45.99,997.41,129211,11.769202,0.008749,11.766599,11.742724,0.023874
166547,coffee,29.98,45.96,997.41,128424,11.763093,-0.017455,11.765371,11.743947,0.021424
166897,coffee,29.98,45.93,997.42,128915,11.766909,0.010902,11.765909,11.745325,0.020584
167247,coffee,29.98,45.91,997.42,129409,11.770733,0.010926,11.767597,11.746849,0.020748
167597,coffee,29.98,45.89,997.41,128915,11.766909,-0.010926,11.767356,11.748053,0.019303
167947,coffee,29.98,45.85,997.41,129409,11.770733,0.010926,11.768538,11.749413,0.019125
168297,coffee,29.98,45.82,997.42,129508,11.771498,0.002185,11.769573,11.750738,0.018835
168647,coffee,29.98,45.81,997.41,129608,11.77227,0.002207,11.770516,11.752029,0.018487
168997,coffee,29.98,45.78,997.41,128816,11.76614,-0.017515,11.768985,11.752876,0.016109
169347,coffee,29.98,45.77,997.41,128522,11.763855,-0.006529,11.767189,11.753535,0.013654
169697,coffee,29.98,45.73,997.4,129310,11.769968,0.017466,11.768162,11.75452,0.013641
